FrameNumber,TimeStamp_ms,TimeFromStart_s,X_mm,Y_mm,Z_mm,QX,QY,QZ,QW,RX_rad,RY_rad,RZ_rad,TCP_X_m,TCP_Y_m,TCP_Z_m,TCP_RX_rad,TCP_RY_rad,TCP_RZ_rad,HE_TCP_X_m,HE_TCP_Y_m,HE_TCP_Z_m,HE_TCP_RX_rad,HE_TCP_RY_rad,HE_TCP_RZ_rad
70,1769517770862,0.777786,22.766,461.7146,-252.5402,0.701509,0.292105,-0.264938,0.593606,1.630547,0.678953,-0.615807,-0.447263,-0.183957,0.197215,2.034625,-2.361936,0.138942,-0.46013,-0.192222,0.210276,-2.114494,2.283758,-0.211373
71,1769517770873,0.788897,23.0545,462.0419,-252.4941,0.701407,0.292217,-0.264994,0.593646,1.630284,0.679201,-0.615927,-0.447176,-0.183665,0.197173,2.034674,-2.362032,0.138953,-0.460411,-0.192366,0.210597,-2.114901,2.283578,-0.211326
72,1769517770885,0.800008,20.9595,461.1818,-252.172,0.701252,0.292062,-0.265236,0.593798,1.62982,0.678797,-0.616451,-0.447139,-0.183504,0.197147,2.034638,-2.362132,0.138963,-0.459003,-0.190693,0.209741,-2.114808,2.283282,-0.209811
73,1769517770896,0.811119,21.5612,461.3773,-252.2051,0.701373,0.292293,-0.265079,0.593611,1.630227,0.679388,-0.616132,-0.447092,-0.18338,0.197114,2.034762,-2.362147,0.139003,-0.459431,-0.191191,0.209944,-2.115177,2.28331,-0.211296
74,1769517770907,0.822231,21.1381,461.1858,-251.948,0.701093,0.292736,-0.26477,0.593862,1.629408,0.680346,-0.61535,-0.447015,-0.183108,0.197051,2.034866,-2.362209,0.139095,-0.459418,-0.190802,0.209744,-2.116333,2.283827,-0.212628
75,1769517770918,0.833342,20.3943,461.0359,-251.8398,0.701242,0.292631,-0.264921,0.59367,1.629884,0.680158,-0.615751,-0.446982,-0.182955,0.197074,2.034853,-2.362213,0.139022,-0.458829,-0.190234,0.209608,-2.116035,2.283437,-0.212391
76,1769517770929,0.844453,19.0839,460.7358,-251.4892,0.701163,0.292462,-0.264969,0.593826,1.629595,0.679719,-0.615822,-0.446917,-0.182684,0.197068,2.03487,-2.362206,0.138964,-0.458056,-0.189077,0.20931,-2.115715,2.283577,-0.211477
77,1769517770940,0.855565,18.2264,460.5155,-251.2557,0.701323,0.292309,-0.265181,0.593617,1.630108,0.679423,-0.616368,-0.44689,-0.182552,0.197086,2.0349,-2.362123,0.138892,-0.457443,-0.188323,0.209104,-2.115328,2.283081,-0.210978
78,1769517770951,0.866676,18.5496,460.6813,-251.21,0.701261,0.292465,-0.265083,0.593656,1.629937,0.679775,-0.616131,-0.446837,-0.182426,0.197055,2.034973,-2.362166,0.138945,-0.457762,-0.188525,0.209267,-2.11571,2.283202,-0.211535
79,1769517770962,0.877787,18.1034,460.5183,-251.0301,0.701485,0.292279,-0.265216,0.593424,1.630614,0.679407,-0.616499,-0.446783,-0.182157,0.197056,2.034915,-2.36216,0.138947,-0.457425,-0.18809,0.209119,-2.115131,2.282887,-0.211285
80,1769517770973,0.888898,18.4069,460.6842,-250.9821,0.701452,0.292534,-0.264937,0.593462,1.630511,0.67999,-0.615842,-0.446758,-0.182002,0.197063,2.034923,-2.362152,0.138904,-0.45775,-0.188329,0.209284,-2.115618,2.283326,-0.212656
81,1769517770985,0.900009,17.747,460.6127,-250.741,0.701373,0.292514,-0.264998,0.593539,1.630275,0.679921,-0.615963,-0.446686,-0.181709,0.197043,2.034884,-2.362189,0.139038,-0.457409,-0.187698,0.209212,-2.115676,2.283264,-0.212218
82,1769517770996,0.911121,17.9575,460.7998,-250.6457,0.701299,0.292617,-0.264823,0.593653,1.630027,0.68013,-0.615529,-0.446647,-0.181551,0.197031,2.034936,-2.362183,0.139033,-0.45769,-0.187789,0.209394,-2.115885,2.283648,-0.212727
83,1769517771007,0.922232,17.0013,460.4702,-250.3352,0.701361,0.292536,-0.264973,0.593553,1.630237,0.679969,-0.615902,-0.446614,-0.181407,0.197032,2.034895,-2.362174,0.139081,-0.457096,-0.186917,0.209075,-2.115726,2.283311,-0.212311
84,1769517771018,0.933343,16.7488,460.4971,-250.2126,0.701308,0.292376,-0.264784,0.593779,1.629964,0.679532,-0.615404,-0.446566,-0.18107,0.197044,2.034741,-2.362236,0.139081,-0.457031,-0.186647,0.209095,-2.115254,2.284015,-0.212023
85,1769517771029,0.944454,16.9245,460.6448,-250.1498,0.701251,0.292756,-0.264631,0.593727,1.629867,0.680431,-0.615061,-0.446531,-0.180933,0.197054,2.03469,-2.362202,0.139152,-0.457253,-0.186797,0.209245,-2.116154,2.284016,-0.213472
86,1769517771040,0.955566,17.113,460.8164,-250.1214,0.701432,0.293028,-0.264386,0.593487,1.630449,0.681131,-0.614554,-0.446461,-0.180653,0.197049,2.034786,-2.362131,0.139142,-0.457392,-0.187018,0.209431,-2.116513,2.284163,-0.215468
87,1769517771051,0.966677,15.7301,460.3574,-249.9385,0.701239,0.292894,-0.264614,0.593681,1.629868,0.680764,-0.615036,-0.44642,-0.180513,0.197043,2.034793,-2.362141,0.139186,-0.456466,-0.185905,0.208968,-2.116497,2.283912,-0.213939
88,1769517771062,0.977788,14.878,460.0672,-249.6279,0.701274,0.292774,-0.264867,0.593586,1.630013,0.680512,-0.615648,-0.446384,-0.180361,0.197053,2.034791,-2.362114,0.139188,-0.455944,-0.185071,0.208686,-2.11633,2.283384,-0.213087
89,1769517771073,0.988899,14.9075,460.1816,-249.5204,0.701156,0.292922,-0.264683,0.593734,1.629642,0.680814,-0.615182,-0.446308,-0.180069,0.197035,2.034854,-2.362089,0.139207,-0.45611,-0.18504,0.208795,-2.116685,2.283779,-0.213637
90,1769517771085,1.000011,14.0692,459.8446,-249.2258,0.70141,0.292703,-0.264875,0.593457,1.630417,0.680384,-0.615697,-0.446286,-0.179918,0.197022,2.034844,-2.362091,0.139258,-0.455519,-0.184257,0.208477,-2.116036,2.283326,-0.213236
91,1769517771096,1.011122,14.035,459.92,-249.1153,0.701275,0.292821,-0.264967,0.593516,1.630064,0.680642,-0.615897,-0.446254,-0.179745,0.197034,2.034854,-2.362097,0.139132,-0.455596,-0.184135,0.208548,-2.116514,2.28308,-0.213034
92,1769517771107,1.022233,13.9343,459.7862,-248.9934,0.70144,0.292884,-0.264882,0.593329,1.630572,0.680839,-0.615747,-0.446185,-0.179405,0.197038,2.034814,-2.362082,0.139125,-0.455548,-0.184032,0.208426,-2.116467,2.283078,-0.213923
